,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,label1,combination,total,label1x,label2x,label3x,label4x,label5x,label6x,label7x,label8x,label9x,label10x,label11x,label12x,total_per,bestlabelx1,bestlabelx2,bestlabelx3,bestlabel1,bestlabel2,bestlabel3,melhores
30,30,161,161,,162,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Professionals,,,,0.8,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.8,0.0,0.4444444444444444,0,1.0,,0.8-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.8-0.0-0.4444444444444444-0-1.0,14,0.0,7.809246147438568e-05,5.2061640982923784e-05,0.0,0.0,0.0,0.0,0.00010412328196584757,0.0,0.00013015410245730946,0.0,0.0,0.0011666666666666668,label10x,,,9,0,0,0.004373177842565598
31,31,165,165,,166,30-34,Alberta,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.0,0,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.0-0-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,55,3.278464585752339e-07,4.371286114336452e-07,4.371286114336452e-07,2.185643057168226e-07,1.0928215285841132e-06,6.556929171504678e-07,0.0,8.742572228672904e-07,0.0,1.092821528584113e-07,0.0,1.857796598592992e-06,0.004583333333333333,label12x,,,11,0,0,0.00021036814425244175
32,32,166,166,,167,45-49,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6666666666666666,0.8888888888888888,1,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6666666666666666-0.8888888888888888-1-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,65,1.6806134238997234e-07,4.4816357970659295e-07,1.1204089492664824e-07,2.2408178985329647e-07,1.6806134238997234e-07,1.6806134238997234e-07,2.8010223731662053e-07,5.602044746332412e-08,8.963271594131859e-07,3.921431322432688e-07,0.0,7.282658170232134e-07,0.005416666666666667,label9x,,,8,0,0,0.0001347291761492945
33,33,167,167,,168,40-44,British Columbia,Male,English,English,High School Graduation Certificate,Not Employed,Other,,,,0.6,0.1111111111111111,0,0.2352941176470588,0.2352941176470588,0.5,0.5,0.1111111111111111,0,1.0,,0.6-0.1111111111111111-0-0.2352941176470588-0.2352941176470588-0.5-0.5-0.1111111111111111-0-1.0,119,1.4960062542236932e-08,8.477368773934261e-08,3.9893500112631816e-08,4.9866875140789776e-08,4.9866875140789776e-08,5.485356265486875e-08,3.9893500112631816e-08,4.9866875140789776e-08,5.984025016894773e-08,2.4933437570394888e-08,7.978700022526363e-08,4.488018762671079e-08,0.009916666666666667,label2x,,,1,0,0,2.6703711637892923e-05
34,34,168,168,,169,35-39,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other,,,,0.5333333333333333,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.4,0.0,0.1111111111111111,0,1.0,,0.5333333333333333-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.4-0.0-0.1111111111111111-0-1.0,26,6.564896187108294e-06,1.0941493645180492e-05,8.753194916144395e-06,1.0941493645180492e-05,4.376597458072197e-06,6.564896187108294e-06,0.0,0.0,0.0,8.753194916144395e-06,0.0,0.0,0.0021666666666666666,label2x,,,1,0,0,0.0006827492034592627
35,35,176,176,,177,70+,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Technical/Sales/Teaching/Other White Collar,,,,1.0,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.5,0.8888888888888888,0,1.0,,1.0-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.5-0.8888888888888888-0-1.0,66,2.3125023125023124e-07,4.625004625004625e-07,0.0,0.015388431013431014,4.625004625004625e-07,1.1562511562511562e-07,5.781255781255781e-07,1.0984385984385985e-06,0.0,5.203130203130203e-07,0.0,0.0,0.0055,label4x,,,3,0,0,0.01574710012210012
36,36,178,178,,179,15-17,Manitoba,Male,English,French,High School Graduation Certificate,Not Employed,Other,,,,0.06666666666666668,0.2222222222222222,0,0.2352941176470588,0.29411764705882354,0.5,0.5,0.1111111111111111,0,1.0,,0.06666666666666668-0.2222222222222222-0-0.2352941176470588-0.29411764705882354-0.5-0.5-0.1111111111111111-0-1.0,20,5.729564553093964e-05,1.909854851031322e-05,5.729564553093964e-05,1.909854851031322e-05,0.0,5.729564553093964e-05,0.0,0.0,0.0,0.15945378151260506,0.0,0.0,0.0016666666666666668,label10x,,,9,0,0,0.1906035141329259
37,37,185,185,,186,40-44,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Other,,,,0.6,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.1111111111111111,0,1.0,,0.6-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.1111111111111111-0-1.0,9,0.00015241579027587256,0.0003048315805517451,0.0006096631611034902,0.0,0.00015241579027587256,0.00015241579027587256,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,label3x,,,2,0,0,0.009602194787379972
38,38,186,186,,187,65-69,Ontario,Male,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,,,,0.9333333333333332,0.6666666666666666,0,0.2352941176470588,0.2352941176470588,0.5,0.0,0.8888888888888888,0,1.0,,0.9333333333333332-0.6666666666666666-0-0.2352941176470588-0.2352941176470588-0.5-0.0-0.8888888888888888-0-1.0,86,7.31250517359741e-08,1.279688405379547e-07,1.8281262933993525e-07,1.0968757760396116e-07,9.140631466996762e-08,1.8281262933993525e-07,1.6453136640594174e-07,2.559376810759094e-07,0.0,1.0968757760396116e-07,2.742189440099029e-07,0.0,0.007166666666666667,label11x,,,10,0,0,6.131535588061429e-05
39,39,202,202,,203,25-29,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,10,0.0001,0.0004,0.0,0.0001,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,label2x,,,1,0,0,0.007
40,40,207,207,,208,30-34,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,,,,0.4666666666666667,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.0,0.5,0.1111111111111111,0,1.0,,0.4666666666666667-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.0-0.5-0.1111111111111111-0-1.0,29,8.88444666555611e-06,8.88444666555611e-06,0.0,6.663334999167083e-06,0.0,0.07163307235271253,1.1105558331945139e-05,4.442223332778055e-06,0.0,0.0,0.0,0.0,0.002416666666666667,label6x,,,5,0,0,0.07793880837359099
41,41,211,211,,212,25-29,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,,,,0.4,0.6666666666666666,1,0.2352941176470588,0.2352941176470588,0.4,0.0,0.2222222222222222,0,1.0,,0.4-0.6666666666666666-1-0.2352941176470588-0.2352941176470588-0.4-0.0-0.2222222222222222-0-1.0,10,0.0002,0.0,0.0001,0.00030000000000000003,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,label4x,,,3,0,0,0.006
